model,language,accuracy
paraphrase-multilingual-MiniLM-L12-v2,English,0.462882096069869
paraphrase-multilingual-MiniLM-L12-v2,French,0.2948717948717949
paraphrase-multilingual-MiniLM-L12-v2,Thai,0.38666666666666666
paraphrase-multilingual-MiniLM-L12-v2,Turkish,0.4225352112676056
paraphrase-multilingual-MiniLM-L12-v2,Urdu,0.42857142857142855
paraphrase-multilingual-MiniLM-L12-v2,Russian,0.39473684210526316
paraphrase-multilingual-MiniLM-L12-v2,Bulgarian,0.4492753623188406
paraphrase-multilingual-MiniLM-L12-v2,German,0.28169014084507044
paraphrase-multilingual-MiniLM-L12-v2,Arabic,0.345679012345679
paraphrase-multilingual-MiniLM-L12-v2,Chinese,0.4457831325301205
paraphrase-multilingual-MiniLM-L12-v2,Hindi,0.30666666666666664
paraphrase-multilingual-MiniLM-L12-v2,Swahili,0.4025974025974026
paraphrase-multilingual-MiniLM-L12-v2,Vietnamese,0.40789473684210525
paraphrase-multilingual-MiniLM-L12-v2,Spanish,0.4864864864864865
paraphrase-multilingual-MiniLM-L12-v2,Greek,0.3466666666666667
xlm-roberta-large,English,0.47161572052401746
xlm-roberta-large,French,0.38461538461538464
xlm-roberta-large,Thai,0.28
xlm-roberta-large,Turkish,0.4084507042253521
xlm-roberta-large,Urdu,0.36363636363636365
xlm-roberta-large,Russian,0.27631578947368424
xlm-roberta-large,Bulgarian,0.2608695652173913
xlm-roberta-large,German,0.2676056338028169
xlm-roberta-large,Arabic,0.35802469135802467
xlm-roberta-large,Chinese,0.39759036144578314
xlm-roberta-large,Hindi,0.37333333333333335
xlm-roberta-large,Swahili,0.3246753246753247
xlm-roberta-large,Vietnamese,0.4342105263157895
xlm-roberta-large,Spanish,0.33783783783783783
xlm-roberta-large,Greek,0.4
LaBSE,English,0.47671033478893743
LaBSE,French,0.41025641025641024
LaBSE,Thai,0.4
LaBSE,Turkish,0.4647887323943662
LaBSE,Urdu,0.37662337662337664
LaBSE,Russian,0.3684210526315789
LaBSE,Bulgarian,0.4492753623188406
LaBSE,German,0.30985915492957744
LaBSE,Arabic,0.37037037037037035
LaBSE,Chinese,0.3855421686746988
LaBSE,Hindi,0.36
LaBSE,Swahili,0.42857142857142855
LaBSE,Vietnamese,0.40789473684210525
LaBSE,Spanish,0.47297297297297297
LaBSE,Greek,0.4533333333333333
all-distilroberta-v1,English,0.4519650655021834
all-distilroberta-v1,French,0.38461538461538464
all-distilroberta-v1,Thai,0.25333333333333335
all-distilroberta-v1,Turkish,0.352112676056338
all-distilroberta-v1,Urdu,0.3116883116883117
all-distilroberta-v1,Russian,0.32894736842105265
all-distilroberta-v1,Bulgarian,0.30434782608695654
all-distilroberta-v1,German,0.323943661971831
all-distilroberta-v1,Arabic,0.38271604938271603
all-distilroberta-v1,Chinese,0.3493975903614458
all-distilroberta-v1,Hindi,0.4533333333333333
all-distilroberta-v1,Swahili,0.36363636363636365
all-distilroberta-v1,Vietnamese,0.4605263157894737
all-distilroberta-v1,Spanish,0.40540540540540543
all-distilroberta-v1,Greek,0.36
xlm-r-distilroberta-base-paraphrase-v1,English,0.4497816593886463
xlm-r-distilroberta-base-paraphrase-v1,French,0.3717948717948718
xlm-r-distilroberta-base-paraphrase-v1,Thai,0.37333333333333335
xlm-r-distilroberta-base-paraphrase-v1,Turkish,0.36619718309859156
xlm-r-distilroberta-base-paraphrase-v1,Urdu,0.3246753246753247
xlm-r-distilroberta-base-paraphrase-v1,Russian,0.34210526315789475
xlm-r-distilroberta-base-paraphrase-v1,Bulgarian,0.42028985507246375
xlm-r-distilroberta-base-paraphrase-v1,German,0.4084507042253521
xlm-r-distilroberta-base-paraphrase-v1,Arabic,0.2716049382716049
xlm-r-distilroberta-base-paraphrase-v1,Chinese,0.40963855421686746
xlm-r-distilroberta-base-paraphrase-v1,Hindi,0.4
xlm-r-distilroberta-base-paraphrase-v1,Swahili,0.2987012987012987
xlm-r-distilroberta-base-paraphrase-v1,Vietnamese,0.25
xlm-r-distilroberta-base-paraphrase-v1,Spanish,0.4594594594594595
xlm-r-distilroberta-base-paraphrase-v1,Greek,0.32
